item_id,type_id,item_name,size,description,weight,volume,sort,tax,tax_price,price,discount,icon,brand,icon,expire_time,amount
84,6,LifeSpace 儿童益生菌粉 2-12岁 60g LifeSpace Children Probiotic Powder,60粒,,1000,100,1,2.7,19.95,19.95,0,http://52.63.10.86:8080/image/LifeSpace_Children_Probiotic.jpg,Lifespace,http://52.63.10.86:8080/image/LifeSpace_Children_Probiotic.jpg,0,55
85,6,LifeSpace成人益生菌胶囊 加强型 30片 LifeSpace Double Strength Probiotic Capsules,30片,,1000,100,0,0,29.95,29.95,0,http://52.63.10.86:8080/image/Life_Space_Double_Strength_Probiotic_30_Capsules.jpg,Lifespace,http://52.63.10.86:8080/image/Life_Space_Double_Strength_Probiotic_30_Capsules.jpg,0,100
86,6,LifeSpace孕期哺乳期益生菌胶囊 60片 LifeSpace Pregnancy Probiotic Capsules,60片,,1000,100,0,0,29.5,29.95,0,http://52.63.10.86:8080/image/Life_Space_Pregnancy_Probiotic_60_Capsules.jpg,Lifespace,http://52.63.10.86:8080/image/Life_Space_Pregnancy_Probiotic_60_Capsules.jpg,0,100
87,6,LifeSpace成人益生菌胶囊  30片 LifeSpace Probiotic Broad Spectrum Capsules,30片,,1000,100,0,0,17.95,17.95,0,http://52.63.10.86:8080/image/Life_Space_Broad_Spectrum_Probiotic_30_Capsules.jpg,Lifespace,http://52.63.10.86:8080/image/Life_Space_Broad_Spectrum_Probiotic_30_Capsules.jpg,0,100
88,6,LifeSpace成人益生菌胶囊 大瓶装 60片 LifeSpace Probiotic Broad Spectrum Capsules,60片,,1000,100,0,0,24.5,24.95,0,http://52.63.10.86:8080/image/Life_Space_Broad_Spectrum_Probiotic_60_Capsules.jpg,Lifespace,http://52.63.10.86:8080/image/Life_Space_Broad_Spectrum_Probiotic_60_Capsules.jpg,0,98
89,8,Nature`s Way 速溶蛋白粉 香草 375g Nature's Way Instant Natural Protein Vanilla,375g,,1000,100,0,0,14.95,14.95,0,http://52.63.10.86:8080/image/Natures_Way_Protein_Vanilla_375g.jpg,Nature`s Way,http://52.63.10.86:8080/image/Natures_Way_Protein_Vanilla_375g.jpg,0,100
90,8,Nature`s Way 儿童深海鱼油胶囊 180片 Nature's Way Kids Smart Trio Fish Oil Capsules,180片,,1000,100,0,0,29.5,29.95,0,http://52.63.10.86:8080/image/Natures_Way_Kids_Smart_Omega_3_Fish_Oil_Trio_180_Capsules.jpg,Nature`s Way,http://52.63.10.86:8080/image/Natures_Way_Kids_Smart_Omega_3_Fish_Oil_Trio_180_Capsules.jpg,0,100
91,8,Nature`s Way 儿童软糖  calcium 60粒,60粒,,1000,100,0,0,8.8,8.95,0,http://52.63.10.86:8080/image/Natures-way-kids-smart-calcium-D3.jpg,Nature`s Way,http://52.63.10.86:8080/image/Natures-way-kids-smart-calcium-D3.jpg,0,96
92,8,Nature`s Way 儿童软糖  Vc+zinc 60粒,60粒,,1000,100,0,0,8.8,8.95,0,http://52.63.10.86:8080/image/Natures_Way_Kids_Smart_Vita_Gummies_Vitamin_C_60_Gummies.jpg,Nature`s Way,http://52.63.10.86:8080/image/Natures_Way_Kids_Smart_Vita_Gummies_Vitamin_C_60_Gummies.jpg,0,100
93,8,Nature`s Way 儿童软糖  Multivitamin + vegie 60粒,60粒,,1000,100,0,0,8.8,8.95,0,http://52.63.10.86:8080/image/Natures_Way_Kids_Smart_Vita_Gummies_Multi_Vitamin_Vegies_60_Gummies.jpg,Nature`s Way,http://52.63.10.86:8080/image/Natures_Way_Kids_Smart_Vita_Gummies_Multi_Vitamin_Vegies_60_Gummies.jpg,0,98
94,8,Nature`s Way 儿童软糖  cold+flu 60粒,60粒,,1000,100,0,0,8.8,8.95,0,http://52.63.10.86:8080/image/Natures-way-kids-smart-coldflu.jpg,Nature`s Way,http://52.63.10.86:8080/image/Natures-way-kids-smart-coldflu.jpg,0,100
95,8,Nature`s Way 儿童软糖  Omega 3+fish oil 60粒,60粒,,1000,100,0,0,8.8,8.95,0,http://52.63.10.86:8080/image/Natures-way-kids-smart-omega3fishoil.jpg,Nature`s Way,http://52.63.10.86:8080/image/Natures-way-kids-smart-omega3fishoil.jpg,0,100
96,8,Nature`s Way 儿童软糖  fussy feeder 60粒,60粒,,1000,100,0,0,8.8,8.95,0,http://52.63.10.86:8080/image/Natures_Way_Kids_Smart_Vita_Gummies_Multi_Vitamin_for_Fussy_Eaters_60_Pastilles.jpg,Nature`s Way,http://52.63.10.86:8080/image/Natures_Way_Kids_Smart_Vita_Gummies_Multi_Vitamin_for_Fussy_Eaters_60_Pastilles.jpg,0,100
97,8,Nature`s Way 儿童软糖  multivitamin+omega3 60粒,60粒,,1000,100,0,0,8.8,8.95,0,http://52.63.10.86:8080/image/Natures_Way_Kids_Smart_Vita_Gummies_Multi_Omega_50_Pastilles.jpg,Nature`s Way,http://52.63.10.86:8080/image/Natures_Way_Kids_Smart_Vita_Gummies_Multi_Omega_50_Pastilles.jpg,0,100
98,8,Nature`s Way 儿童益生菌巧克力球 50颗 Nature's Way Kids Smart Probiotic Chocolate Balls,50颗,,1000,100,0,0,9.8,9.95,0,http://52.63.10.86:8080/image/Nature_Way_Kids_Probiotic_Balls_50.jpg,Nature`s Way,http://52.63.10.86:8080/image/Nature_Way_Kids_Probiotic_Balls_50.jpg,0,100
